The graph SACHS has 8 nodes and 14 edges
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 5 B; rt:0.03385663032531738
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 6 B; rt:0.01013803482055664
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 7 B; rt:0.05143594741821289
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 8 B; rt:0.039289236068725586
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 9 B; rt:0.01807236671447754
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 10 B; rt:0.017986297607421875
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 11 B; rt:0.08404660224914551
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 12 B; rt:0.010901451110839844
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 13 B; rt:0.018714427947998047
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 14 B; rt:0.06618642807006836
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 15 B; rt:0.06049466133117676
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 16 B; rt:0.021004676818847656
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 17 B; rt:0.017394304275512695
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 18 B; rt:0.014568805694580078
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 19 B; rt:0.06499862670898438
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 20 B; rt:0.01593923568725586
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 21 B; rt:0.03539729118347168
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 22 B; rt:0.032703399658203125
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 23 B; rt:0.03580498695373535
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 24 B; rt:0.01728653907775879
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 25 B; rt:0.20274925231933594
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 26 B; rt:0.00891876220703125
SACHS 2 / 28; |X|: 1, |Z|: 1; it: 27 B; rt:0.015040397644042969
