The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 1.0598042011260986; N: 0.36290955543518066BA3 3 / 84; |X|: 1, |Z|: 2; it: 27 DC
T: 0.5103638172149658; N: 0.27704429626464844BA3 3 / 84; |X|: 1, |Z|: 2; it: 28 DC
T: 0.2676966190338135; N: 0.28546571731567383BA3 3 / 84; |X|: 1, |Z|: 2; it: 29 DC
T: 0.3289194107055664; N: 0.29771852493286133BA3 3 / 84; |X|: 1, |Z|: 2; it: 30 DC
T: 0.31656575202941895; N: 0.1569995880126953BA3 4 / 84; |X|: 1, |Z|: 10; it: 1 DC
T: 0.22481489181518555; N: 0.25481700897216797BA3 4 / 84; |X|: 1, |Z|: 10; it: 2 DC
T: 0.32885289192199707; N: 0.43460893630981445BA3 4 / 84; |X|: 1, |Z|: 10; it: 3 DC
T: 0.24118566513061523; N: 0.6336145401000977BA3 4 / 84; |X|: 1, |Z|: 10; it: 4 DC
T: 0.33315348625183105; N: 0.16055631637573242BA3 4 / 84; |X|: 1, |Z|: 10; it: 5 DC
T: 0.36931681632995605; N: 0.23149871826171875BA3 4 / 84; |X|: 1, |Z|: 10; it: 6 DC
T: 0.29486656188964844; N: 0.318986177444458BA3 4 / 84; |X|: 1, |Z|: 10; it: 7 DC
T: 0.4056253433227539; N: 0.24006915092468262BA3 4 / 84; |X|: 1, |Z|: 10; it: 8 DC
T: 0.4031257629394531; N: 1.0244231224060059BA3 4 / 84; |X|: 1, |Z|: 10; it: 9 DC
T: 0.2994382381439209; N: 0.2339775562286377BA3 4 / 84; |X|: 1, |Z|: 10; it: 10 DC
T: 0.18364644050598145; N: 1.4736323356628418BA3 4 / 84; |X|: 1, |Z|: 10; it: 11 DC
T: 0.3112161159515381; N: 0.21398210525512695BA3 4 / 84; |X|: 1, |Z|: 10; it: 12 DC
T: 0.3074917793273926; N: 0.17168235778808594BA3 4 / 84; |X|: 1, |Z|: 10; it: 13 DC
T: 0.2389514446258545; N: 0.23524951934814453BA3 4 / 84; |X|: 1, |Z|: 10; it: 14 DC
T: 0.22120213508605957; N: 0.383333683013916BA3 4 / 84; |X|: 1, |Z|: 10; it: 15 DC
T: 0.316648006439209; N: 0.4797351360321045BA3 4 / 84; |X|: 1, |Z|: 10; it: 16 DC
T: 0.29625439643859863; N: 0.12984108924865723BA3 4 / 84; |X|: 1, |Z|: 10; it: 17 DC
T: 0.22736072540283203; N: 0.4610874652862549BA3 4 / 84; |X|: 1, |Z|: 10; it: 18 DC
T: 0.5246293544769287; N: 0.7131075859069824BA3 4 / 84; |X|: 1, |Z|: 10; it: 19 DC
T: 0.578169584274292; N: 0.23227214813232422BA3 4 / 84; |X|: 1, |Z|: 10; it: 20 DC
T: 0.24797987937927246; N: 0.14960408210754395BA3 4 / 84; |X|: 1, |Z|: 10; it: 21 DC
T: 0.3441174030303955; N: 0.2806119918823242BA3 4 / 84; |X|: 1, |Z|: 10; it: 22 DC
T: 0.22353219985961914; N: 0.04962968826293945BA3 4 / 84; |X|: 1, |Z|: 10; it: 23 DC
T: 0.4194924831390381; N: 0.2897186279296875BA3 4 / 84; |X|: 1, |Z|: 10; it: 24 DC
T: 0.32578277587890625; N: 0.18120074272155762BA3 4 / 84; |X|: 1, |Z|: 10; it: 25 DC
T: 0.25666165351867676; N: 0.18105673789978027BA3 4 / 84; |X|: 1, |Z|: 10; it: 26 DC
T: 0.6233611106872559; N: 0.1732475757598877BA3 4 / 84; |X|: 1, |Z|: 10; it: 27 DC
T: 0.47960758209228516; N: 0.30229663848876953BA3 4 / 84; |X|: 1, |Z|: 10; it: 28 DC
T: 0.6579585075378418; N: 0.8879728317260742BA3 4 / 84; |X|: 1, |Z|: 10; it: 29 DC
T: 0.405137300491333; N: 0.3136587142944336BA3 4 / 84; |X|: 1, |Z|: 10; it: 30 DC
T: 0.5851924419403076; N: 0.3808732032775879BA3 5 / 84; |X|: 1, |Z|: 20; it: 1 DC
